event,site,white,white_elo,black,black_elo,result,termination,time_control,opening,moves
Rated Bullet game,https://lichess.org/zu8nhzr0,pink_overdoze,2081,plateado,1743,1-0,Normal,120+1,Van Geet Opening: Reversed Nimzowitsch,1. Nc3 e5 2. d4 exd4 3. Qxd4 d6 4. e4 Nf6 5. f4 Be7 6. e5 dxe5 7. Qxd8+ Bxd8 8. fxe5 Ng4 9. Bf4 O-O 10. h3 Bh4+ 11. g3 Bxg3+ 12. Bxg3 Nh6 13. O-O-O Nf5 14. Bf4 Be6 15. Bg2 c6 16. Be4 Nd7 17. Nf3 Rad8 18. Rh2 Nc5 19. Rhd2 Nxe4 20. Rxd8 Nxc3 21. Rxf8+ Kxf8 22. bxc3 Bxa2 23. Bg5 f6 24. exf6 gxf6 25. Bxf6 Kf7 26. Bd4 Bd5 27. Ne5+ Ke6 28. Nd3 b6 29. Nf4+ Kf7 30. Nxd5 cxd5 31. Rf1
Rated Bullet game,https://lichess.org/iiqjnq9x,pink_overdoze,2084,wut,1886,0-1,Normal,60+0,Van Geet Opening,1. Nc3 d6 2. d4 Nd7 3. e4 g6 4. f4 Bg7 5. e5 e6 6. g4 f6 7. Nf3 fxe5 8. dxe5 dxe5 9. fxe5 Nxe5 10. Qxd8+ Kxd8 11. Nxe5 Bxe5 12. Bg5+ Bf6 13. O-O-O+ Ke7 14. Bf4 g5 15. Bxc7 Bd7 16. Bb5 Bxc3 17. Rxd7+ Kf6 18. Rf1+ Kg6 19. Bd3+ Kh6 20. bxc3 Re8 21. h4 Ne7 22. Rf6+ Kg7 23. hxg5 h6 24. Rg6+ Kf7 25. Rf6+ Kg7 26. Rxe6 Kf7 27. Bc4 Kf8 28. Bd6 Rh7 29. Rf6+ Kg7 30. Be5 hxg5 31. Rf4+ Kg6 32. Rf6+ Kg7 33. Rf5+ Kh6 34. Rf6+ Ng6 35. Rfd6 Rg7 36. Bd3 Rxe5 37. Rxg6+ Rxg6 38. Rh7+ Kxh7 39. Kb2 Kg7 40. Ka3 Rb6 41. c4 Ra5#
Rated Bullet game,https://lichess.org/s3ibb6he,wut,1904,pink_overdoze,2065,0-1,Time forfeit,60+0,Scandinavian Defense: Mieses-Kotroc Variation,1. e4 d5 2. exd5 Qxd5 3. c4 Qe6+ 4. Be2 Qg6 5. Bf3 Nc6 6. Nc3 Bf5 7. Nge2 Bc2 8. O-O Bxd1 9. Rxd1 O-O-O 10. d4 Nf6 11. d5 e6 12. Be3 exd5 13. cxd5 Ne5 14. Nd4 Bc5 15. Kh1 Bxd4 16. Bxd4 Nxf3 17. gxf3 Nxd5 18. Rg1 Qd3 19. Bxg7 Qxf3+ 20. Rg2 Rhg8 21. Kg1 Qxg2+ 22. Kxg2 Rxg7+ 23. Kf1 Nxc3 24. bxc3 Rd2 25. a4 Rg6 26. c4 Rf6 27. Ke1 Rfxf2 28. c5 Rxh2 29. Ra3 Rb2
Rated Bullet game,https://lichess.org/ykl94z2n,pink_overdoze,2073,wut,1897,1-0,Normal,60+0,Modern Defense: Two Knights Variation,1. Nc3 d6 2. d4 g6 3. Nf3 Bg7 4. e4 Nd7 5. Bc4 e6 6. O-O Ne7 7. Bg5 O-O 8. Qd2 c6 9. d5 cxd5 10. exd5 f6 11. dxe6 fxg5 12. exd7+ Kh8 13. dxc8=R Rxc8 14. Bd3 d5 15. Nxg5 Nf5 16. Ne6 Qe7 17. Nxf8 Qxf8 18. Nxd5 Qd6 19. Bxf5 gxf5 20. c4 b5 21. b3 Bxa1 22. Rxa1 bxc4 23. Qd4+ Kg8 24. Nf6+ Qxf6 25. Qxf6 Rf8 26. Qe6+ Rf7 27. Rd1 Kg7 28. Qe5+ Kg6 29. Rd6+ Kg5 30. h4+ Kxh4 31. Qg3+ Kh5 32. Qf3+ Kg5 33. Qg3+ Kh5 34. Qh3+ Kg5 35. Qh6+ Kg4 36. f3+ Kg3 37. Qh2#
Rated Bullet game,https://lichess.org/tf4uie72,wut,1890,pink_overdoze,2079,0-1,Time forfeit,60+0,Sicilian Defense: Hyperaccelerated Pterodactyl,1. e4 g6 2. Nf3 Bg7 3. d4 c5 4. d5 Qa5+ 5. c3 Qb6 6. Be3 Nf6 7. c4 Nxe4 8. Nc3 Qxb2 9. Nxe4 Qxa1 10. Be2 Qxd1+ 11. Bxd1 O-O 12. O-O Na6 13. Nfg5 Nb4 14. h4 Nxa2 15. h5 Nc3 16. Nxc3 Bxc3 17. hxg6 hxg6 18. g3 a5 19. Kg2 a4 20. Bf3 a3 21. Rh1 a2 22. Bf4 a1=R 23. Rh3 d6 24. Rh4 Re1 25. Bg4 Raa1 26. Bxc8 Rxc8 27. Nf3 Red1 28. Bh6 Bg7 29. Bg5 b5 30. cxb5 c4 31. Bxe7 c3 32. Bxd6 c2 33. Bf4 Ra4 34. Ng5 Rxf4 35. Rxf4 c1=Q
Rated Bullet game,https://lichess.org/l6528it6,pink_overdoze,2086,wut,1884,1-0,Normal,60+0,Modern Defense: Pseudo-Austrian Attack,1. Nc3 d6 2. d4 g6 3. e4 Bg7 4. f4 e6 5. h4 c6 6. h5 b6 7. Nf3 Bb7 8. Bc4 Ne7 9. Bb3 Nd7 10. e5 dxe5 11. fxe5 Nd5 12. Ne4 O-O 13. Nd6 Qc7 14. Bg5 f6 15. hxg6 fxg5 16. Nxg5 h6 17. Nxe6 Qb8 18. Qh5 N7f6 19. exf6 Nxf6 20. Nxg7+ Kxg7 21. Qxh6#
Rated Bullet game,https://lichess.org/d98zk0pq,wut,1879,pink_overdoze,2092,0-1,Time forfeit,60+0,Robatsch (Modern) Defense,1. e4 g6 2. d4 Bg7 3. c4 c5 4. d5 e6 5. Nc3 Nf6 6. e5 O-O 7. exf6 Qxf6 8. Nf3 d6 9. Bg5 Qf5 10. Bd3 Qg4 11. h3 Qh5 12. g4 Qxg5 13. Nxg5 h6 14. Nf3 Re8 15. Qc2 exd5+ 16. Ne2 dxc4 17. Qxc4 b5 18. Qxb5 Bd7 19. Qc4 Bc6 20. Nd2 a6 21. Rg1 Bb5 22. Qb3 c4 23. Bxc4 d5 24. Bxb5 axb5 25. Qxb5 Na6 26. O-O-O Reb8 27. Qxd5 Bxb2+ 28. Kc2 Nb4+ 29. Kxb2 Nxd5+ 30. Kc2 Rxa2+ 31. Kd3 Nb4+ 32. Ke4 Re8+ 33. Kf3 Nd3 34. Nf4 Nb2 35. Rde1 Ra3+
Rated Bullet game,https://lichess.org/yysbn43w,pink_overdoze,2098,wut,1873,1-0,Time forfeit,60+0,Modern Defense: Standard Defense,1. Nc3 d6 2. d4 g6 3. e4 Bg7 4. h4 Nd7 5. h5 c6 6. h6 Nxh6 7. Bxh6 Bxh6 8. Rxh6 e5 9. dxe5 Nxe5 10. f4 Ng4 11. Rh3 Qb6 12. Nce2 Nf2 13. Qd4 Qxd4 14. Nxd4 Nxh3 15. Nxh3 Bxh3 16. gxh3 O-O-O 17. O-O-O d5 18. Nf3 dxe4 19. Rxd8+ Rxd8 20. Ne5 f6 21. Ng4 f5 22. Ne5 Rd5 23. Bc4 Rd8 24. Be6+ Kb8 25. c3 e3 26. Bc4 b5 27. Be2 a5 28. Bf3 Kc7 29. Nxc6 Re8 30. Ne5 Kd6 31. Be2 Kc5 32. Kc2 b4 33. cxb4+ axb4 34. Kd3 b3 35. axb3 Kb4 36. Bd1 e2 37. Kxe2
Rated Bullet game,https://lichess.org/8vitf7g8,wut,1868,pink_overdoze,2103,0-1,Normal,60+0,Robatsch (Modern) Defense,1. e4 g6 2. d4 Bg7 3. c4 c5 4. d5 d6 5. Nc3 e6 6. Nf3 exd5 7. cxd5 Nf6 8. Bc4 O-O 9. Bg5 b5 10. Be2 h6 11. Bxf6 Qxf6 12. Qc2 b4 13. Nd1 Ba6 14. Bxa6 Nxa6 15. Ne3 c4 16. O-O Qxb2 17. Qd1 Qxa1 18. Qxa1 Bxa1 19. Rxa1 Rfc8 20. Rb1 Rab8 21. a3 bxa3 22. Rxb8 Rxb8 23. h3 a2 24. Nc2 Rb1+ 25. Kh2 Rc1 26. Nfe1 Rxe1 27. Nxe1 a1=Q 28. Nf3 c3 29. e5 dxe5 30. Nxe5 c2 31. d6 Qxe5+ 32. g3 Qxd6 33. f4 c1=Q 34. h4 Qe6 35. h5 Qd2+ 36. Kg1 Qee1#
Rated Bullet game,https://lichess.org/9apu6mjy,pink_overdoze,2108,wut,1863,1-0,Time forfeit,60+0,Zukertort Opening: Pirc Invitation,1. Nf3 d6 2. g3 e5 3. Bg2 Nc6 4. O-O Nf6 5. c4 Be6 6. Nc3 e4 7. Ng5 d5 8. cxd5 Bxd5 9. Ngxe4 Nxe4 10. Nxe4 Bxe4 11. Bxe4 Bd6 12. d3 Qf6 13. Qa4 O-O 14. Rb1 Ne5 15. Bxb7 Rab8 16. Bg2 h5 17. b3 Ng4 18. Bb2 Qh6 19. h3 Nf6 20. Qxa7 h4 21. g4 Qf4 22. Rfd1 Rfe8 23. Bxf6 gxf6 24. e3 Rxe3 25. Qxe3 Qh2+ 26. Kf1 Rf8 27. a4 Bf4 28. Qf3 f5 29. gxf5 Re8 30. a5 Re7 31. a6 f6 32. a7 Rg7 33. a8=Q+ Kh7 34. Qf8
